582,8994
581,5648
585,6514
583,1691
580,2638
585,4452
582,0578
581,104
583,1452
583,7338
582,7617
583,645
584,7371
583,94
585,047
584,9784
583,3067
582,1863
580,6267
580,8824
584,2217
584,3613
585,5673
585,2044
584,056
581,0254
580,6662
581,911
582,704
580,392
581,488
583,9193
583,7551
585,0551
582,7295
583,1025
586,5673
584,8115
580,963
583,9873
582,7257
582,0272
582,5452
581,7568
582,0169
583,9287
582,9613
586,6926
583,3663
581,3063
584,1361
583,6609
584,866
582,4496
587,0387
581,6473
583,0533
580,5332
582,9641
583,7832
581,5698
580,2878
581,0464
582,1022
583,9027
581,4485
584,524
582,5671
578,1476
585,0719
581,3522
579,9345
579,2153
582,2177
587,9267
586,055
582,5819
578,0375
584,1854
579,9643
586,3266
579,1037
584,9166
583,1635
585,6632
583,3206
584,8497
584,9436
583,1001
582,3721
579,9868
581,1039
582,5608
585,5984
580,5898
584,7963
579,6584
583,1721
581,4991
581,8879
