1,1399
2,0663
6,619
6,7943
6,258
6,9944
4,47
1,8942
1,0428
5,3587
2,7757
1,4181
1,7891
6,8099
2,5175
1,3925
6,203
1,4741
6,9373
6,7739
6,6724
1,9547
6,3767
1,1917
6,1535
1,4435
6,5959
5,2037
1,4393
3,6192
3,8504
3,1751
6,4406
1,1653
1,3929
6,2058
1,4672
2,5913
6,8738
6,1961
6,9711
6,226
5,4985
6,0454
1,5402
2,2694
1,0455
6,2655
6,7255
1,1274
2,5649
1,1053
3,2801
1,3314
2,0351
5,0247
4,8437
2,2674
4,3404
6,895
1,9615
2,2651
6,7684
6,6821
1,0108
6,5758
1,163
6,7315
6,8402
6,3326
5,2244
1,0839
6,2918
6,3813
5,2843
6,1841
6,2695
1,0742
6,0281
6,6998
1,6652
1,981
6,6922
2,0139
1,7726
1,9116
1,0102
6,714
1,4382
6,7176
6,8893
1,6487
5,7786
4,0602
2,1084
1,4427
2,3357
2,187
1,8482
1,4623
