19,0077
19,4938
19,0453
19,0302
20,0913
20,8419
19,1014
19,5654
19,3605
19,708
19,1293
19,4165
19,6302
19,5722
19,1799
19,1832
19,3623
19,0918
19,0307
20,4909
19,1416
19,7023
19,1022
19,6207
19,5253
19,3014
19,4816
19,8271
19,395
19,0142
19,5318
19,27
19,7391
19,1728
19,008
19,0309
19,2756
19,1404
19,4367
19,3201
19,4993
19,3195
19,2407
19,0369
19,0037
19,0062
19,3327
19,0643
19,3033
19,5628
19,8476
19,0586
19,7191
19,1271
19,1209
19,4721
19,9895
20,9894
19,1424
19,3412
19,0895
19,0692
19,5429
19,8804
19,1685
19,097
19,3084
19,0951
19,1292
19,281
19,4867
19,3133
19,0398
19,7992
19,2942
20,0153
19,6588
19,3482
19,0513
19,7151
19,2158
19,2514
19,1791
19,2909
19,9069
19,0622
20,051
19,2866
19,1248
19,0054
19,0762
20,2966
19,3454
19,5848
19,2443
19,0636
19,1071
19,051
20,3918
19,4267
